Tournament,Player,Nation,Age,Min,Market_value,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
Serie A,Mattia Perin,it ITA,29,89.2,4000000,4.418181818181818,1.2818181818181817,3.1818181818181817,71.27545454545455,1.3127272727272725,6.472727272727273,16.918181818181818,37.78272727272728,25.29090909090909,4.045454545454546,45.02,37.49272727272728,8.545454545454545,57.29636363636363,43.3790909090909,15.427272727272728,0.6,3.73,0.6454545454545455,11.333636363636364
Serie A,Vanja Milinković-Savić,rs SRB,25,89.68,3500000,3.54,1.22,2.3,66.01,1.066,6.62,23.06,29.264,32.82,3.96,52.22,41.842,6.82,86.46800000000002,65.46000000000001,11.42,0.66,6.398000000000001,1.18,13.804
Serie A,Rui Patrício,pt POR,34,89.98795180722891,5000000,3.6008771929824563,1.2017543859649122,2.43859649122807,66.03859649122806,1.042982456140351,5.206140350877193,11.982456140350877,44.891228070175444,16.55701754385965,3.442982456140351,45.27105263157895,36.30307017543859,6.868421052631579,62.04736842105263,42.020614035087725,13.096491228070175,0.44298245614035087,3.505263157894737,0.4517543859649123,10.254824561403508
Serie A,Francesco Rossi,it ITA,30,14.25,100000,1.25,0.75,0.5,25.0,0.425,1.25,2.25,83.325,4.75,0.75,52.075,37.849999999999994,1.0,6.25,9.825,1.0,0.0,0.0,0.0,4.5
Serie A,Marco Sportiello,it ITA,30,87.6923076923077,1500000,4.211538461538462,1.3461538461538463,2.855769230769231,66.13173076923077,1.2105769230769232,4.0,10.89423076923077,39.482692307692304,22.701923076923077,5.8076923076923075,28.27403846153846,31.267307692307693,7.471153846153846,53.83846153846154,42.51153846153846,13.548076923076923,0.6634615384615384,5.060576923076923,0.9230769230769231,12.951923076923077
Serie A,Juan Musso,ar ARG,28,89.1448275862069,16000000,4.386206896551724,1.3241379310344827,3.0827586206896553,72.22344827586207,1.313793103448276,5.510344827586207,12.606896551724137,43.679310344827584,21.517241379310345,4.731034482758621,36.187586206896555,33.398620689655175,8.26206896551724,54.61724137931034,41.4248275862069,14.351724137931035,0.6827586206896552,5.079999999999999,0.6551724137931034,12.12
Serie A,Gianluca Pegolo,it ITA,40,78.08333333333333,100000,4.25,1.0,3.4166666666666665,66.64166666666667,1.0583333333333333,2.8333333333333335,7.916666666666667,38.916666666666664,19.5,3.8333333333333335,28.45,28.875,7.75,35.766666666666666,29.866666666666664,12.166666666666666,0.3333333333333333,2.6833333333333336,0.5,9.241666666666667
Serie A,Andrea Consigli,it ITA,35,89.74611398963731,1500000,4.523316062176166,1.6062176165803108,2.922279792746114,64.739896373057,1.438860103626943,4.865284974093265,11.761658031088082,42.07668393782384,27.746113989637305,4.709844559585492,32.02590673575129,31.859067357512956,7.316062176165803,36.2658031088083,32.45906735751296,14.66839378238342,0.6062176165803109,4.2056994818652855,0.8238341968911918,12.97875647668394
Serie A,Antonio Mirante,it ITA,37,89.7258064516129,300000,4.225806451612903,1.2258064516129032,3.0161290322580645,72.38387096774193,1.2370967741935484,7.709677419354839,16.274193548387096,46.009677419354844,26.612903225806452,4.483870967741935,40.362903225806456,35.70000000000001,8.483870967741936,59.84193548387098,43.67580645161291,16.93548387096774,0.3387096774193548,1.7629032258064516,1.1935483870967742,13.441935483870965
Serie A,Mike Maignan,fr FRA,27,89.84180790960453,35000000,3.378531073446328,0.9322033898305084,2.4519774011299433,72.72429378531073,0.9677966101694913,4.271186440677966,12.067796610169491,37.53728813559322,24.418079096045197,5.1525423728813555,32.75310734463277,33.01073446327683,6.5875706214689265,55.684180790960454,45.62316384180791,12.209039548022599,0.7288135593220338,6.275706214689267,1.2090395480225988,14.63898305084746
Serie A,Ivan Provedel,it ITA,28,89.6043956043956,7000000,4.923076923076923,1.6923076923076923,3.2637362637362637,68.18021978021979,1.5043956043956048,5.802197802197802,16.01098901098901,37.56703296703297,33.10989010989011,4.802197802197802,37.28461538461539,35.527472527472526,6.637362637362638,51.99560439560439,43.45384615384616,13.901098901098901,0.5934065934065934,4.440659340659342,1.1978021978021978,13.962637362637361
Serie A,Luís Maximiano,pt POR,23,87.25,8000000,4.916666666666667,1.5277777777777777,3.388888888888889,66.10833333333332,1.5555555555555554,6.5,20.36111111111111,33.54444444444444,23.305555555555557,4.166666666666667,56.06944444444444,41.68055555555556,9.305555555555555,71.82499999999999,50.29166666666667,15.944444444444445,0.8055555555555556,5.269444444444444,1.5,17.033333333333335
Serie A,Eugenio Lamanna,it ITA,28,90.0,100000,3.0,1.0,2.0,66.7,2.1,8.0,14.0,57.1,14.0,1.0,50.0,42.3,8.0,87.5,56.6,17.0,0.0,0.0,0.0,9.0
Serie A,Michele Di Gregorio,it ITA,25,90.0,4500000,3.933333333333333,1.4666666666666666,2.533333333333333,66.03333333333333,1.48,3.6666666666666665,11.0,42.28666666666667,33.266666666666666,6.4,29.26666666666667,32.593333333333334,5.6,21.666666666666668,28.486666666666665,12.266666666666667,0.4666666666666667,3.3066666666666666,0.6666666666666666,10.82
Serie A,Alessio Cragno,it ITA,27,89.51315789473684,4000000,5.092105263157895,1.5657894736842106,3.513157894736842,70.26973684210526,1.530263157894737,7.368421052631579,16.855263157894736,44.262499999999996,21.86842105263158,4.125,45.330921052631574,36.382236842105264,9.013157894736842,69.2546052631579,47.98552631578948,15.710526315789474,0.6842105263157895,4.540131578947369,0.7105263157894737,11.833552631578948
Serie A,Davide Marfella,it ITA,22,11.0,50000,1.0,0.0,1.0,100.0,0.1,0.0,0.0,0.0,1.0,1.0,0.0,15.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Serie A,Pierluigi Gollini,it ITA,27,87.85227272727273,5000000,3.191011235955056,1.0898876404494382,2.1235955056179776,64.94157303370785,1.0247191011235954,4.426966292134831,10.932584269662922,41.714606741573036,23.179775280898877,4.247191011235955,29.15280898876405,32.177528089887645,5.898876404494382,60.54269662921349,48.120224719101124,10.258426966292134,0.21348314606741572,2.2325842696629215,1.4719101123595506,16.237078651685394
Serie A,Alex Meret,it ITA,25,88.25,13000000,3.717391304347826,1.1304347826086956,2.5869565217391304,64.30217391304349,1.1206521739130435,2.4456521739130435,6.717391304347826,36.32065217391305,21.23913043478261,3.847826086956522,19.671739130434784,27.742391304347823,6.380434782608695,28.673913043478255,29.46413043478261,12.021739130434783,0.2826086956521739,2.5043478260869567,0.6304347826086957,13.053260869565218
Serie A,André Onana,cm CMR,26,90.0,14000000,3.7142857142857144,1.2857142857142858,2.4285714285714284,72.95714285714286,0.9571428571428571,4.428571428571429,12.142857142857142,38.42857142857143,31.857142857142858,5.142857142857143,28.74285714285714,29.87142857142857,8.428571428571429,34.714285714285715,37.98571428571428,14.0,0.7142857142857143,4.142857142857143,0.2857142857142857,14.700000000000001
Serie A,Alex Cordaz,it ITA,37,90.0,300000,5.5,2.1216216216216215,3.391891891891892,61.46621621621622,1.8351351351351348,6.851351351351352,19.16216216216216,35.690540540540546,26.45945945945946,3.5405405405405403,53.24594594594595,40.14594594594594,8.932432432432432,63.78108108108107,45.086486486486486,16.83783783783784,0.35135135135135137,2.2486486486486488,0.918918918918919,13.463513513513513
