Player,Att,Pass_Types_Live,Pass_Types_Dead,Pass_Types_FK,Pass_Types_TB,Pass_Types_Sw,Pass_Types_Crs,Pass_Types_TI,Pass_Types_CK,Corner_Kicks_In,Corner_Kicks_Out,Corner_Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks
Alessandro Gamberini,29.869565217391305,28.82608695652174,0.9565217391304348,0.5652173913043478,0.0,0.0869565217391304,0.0,0.391304347826087,0.0,0.0,0.0,0.0,25.695652173913043,0.0869565217391304,0.0869565217391304
Luca Garritano,8.090909090909092,7.454545454545454,0.6363636363636364,0.0909090909090909,0.0,0.2727272727272727,1.2727272727272727,0.1818181818181818,0.3636363636363636,0.2727272727272727,0.0909090909090909,0.0,5.454545454545454,0.0,0.4545454545454545
Gabriele Angella,41.91666666666666,39.333333333333336,2.5,1.5,0.0,0.8333333333333334,0.1666666666666666,1.0,0.0,0.0,0.0,0.0,34.25,0.0833333333333333,0.1666666666666666
Thomas Heurtaux,31.235294117647054,30.0,1.0588235294117647,0.8823529411764706,0.0,0.7058823529411765,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,25.235294117647054,0.1764705882352941,0.3529411764705882
Samuel Souprayen,38.63636363636363,32.27272727272727,6.227272727272728,0.9090909090909092,0.0454545454545454,0.1818181818181818,0.5909090909090909,5.318181818181818,0.0,0.0,0.0,0.0,31.5,0.1363636363636363,0.5454545454545454
Marcel Büchel,36.91304347826087,35.608695652173914,1.0869565217391304,0.6956521739130435,0.0869565217391304,0.6086956521739131,0.6956521739130435,0.0434782608695652,0.3478260869565217,0.0,0.2608695652173913,0.0869565217391304,28.130434782608692,0.217391304347826,0.6956521739130435
Alessio Cerci,20.541666666666668,17.75,2.625,0.7083333333333334,0.1666666666666666,0.25,2.7916666666666665,0.75,0.9166666666666666,0.4583333333333333,0.2083333333333333,0.0416666666666666,13.083333333333334,0.1666666666666666,1.0416666666666667
Claudio Marchisio,45.4,44.0,1.0666666666666669,0.8666666666666667,0.3333333333333333,0.6666666666666666,0.2666666666666666,0.0666666666666666,0.1333333333333333,0.0,0.0666666666666666,0.0,40.13333333333333,0.3333333333333333,0.4666666666666667
Jérémie Porsan-Clémenté,40.0,29.0,11.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0
Kolbeinn Sigþórsson,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.5
Lemouya Goudiaby,21.5,12.0,9.5,0.5,0.0,0.0,0.5,9.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Adrián Sahibeddine,1.6666666666666667,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,0.0
Dylan Lempereur,19.0,13.0,6.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,5.666666666666667,0.0,0.0,0.0,0.0,12.0,0.0,0.6666666666666666
Diego Contento,10.666666666666666,9.333333333333334,1.3333333333333333,0.0,0.0,0.0,0.3333333333333333,1.3333333333333333,0.0,0.0,0.0,0.0,8.333333333333334,0.0,0.3333333333333333
Quentin Beunardeau,20.0,12.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
Eden Massouema,11.833333333333334,11.5,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,0.1666666666666666,0.1666666666666666
Thibault Giresse,6.333333333333333,5.333333333333333,1.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.0,4.0,0.0,1.0
Jean-Christophe Bouet,30.0,15.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Henri Bedimo,8.333333333333334,7.0,1.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Vincent Rüfli,4.333333333333333,2.6666666666666665,1.6666666666666667,0.0,0.0,0.0,0.0,1.6666666666666667,0.0,0.0,0.0,0.0,3.333333333333333,0.0,0.0
Jérôme Prior,18.5,12.0,6.5,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0
Landry Bonnefoi,18.5,9.75,8.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.25,0.0
Georges Gope-Fenepej,6.0,6.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,3.6666666666666665,0.0,0.3333333333333333
Julian Palmieri,40.13333333333333,30.933333333333334,9.066666666666666,0.7333333333333333,0.0,0.2666666666666666,1.9333333333333331,8.333333333333334,0.0,0.0,0.0,0.0,30.6,0.1333333333333333,1.3333333333333333
Thomas Carrique,49.0,36.0,13.0,1.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,0.0,39.0,0.0,1.0
Ervin Taha,8.0,7.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,5.5,0.5,0.0
Olivier Verdon,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sekou Baradji,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
