Tournament,Club,Player,Number,Date,Market_value,Nation,Pos,Position,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Ligue 1,Rc Lens,Gaël Kakuta,10.0,2022-10-28,2500000,cd COD,"RM,CM,RW",Midfielder,27,71.45588235294117,0.1691176470588235,0.125,0.0661764705882353,0.088235294117647,1.338235294117647,0.375,0.088235294117647,0.0,41.43382352941177,1.2352941176470589,0.5294117647058824,0.6029411764705882,0.1683823529411764,0.0977941176470588,0.1294117647058823,2.492647058823529,0.2205882352941176,21.683823529411764,32.161764705882355,67.06911764705882,2.8529411764705883,1.6397058823529411,2.875
Ligue 1,Rc Lens,Yannick Cahuzac,18.0,2022-05-30,300000,fr FRA,CM,Midfielder,36,64.65555555555555,0.0222222222222222,0.0,0.0,0.0,0.1666666666666666,0.0555555555555555,0.2555555555555555,0.0111111111111111,31.38888888888889,1.1444444444444444,1.0666666666666669,0.7888888888888889,0.0255555555555555,0.0255555555555555,0.0166666666666666,0.6888888888888889,0.0333333333333333,20.7,25.066666666666663,79.78333333333333,1.5333333333333334,0.0888888888888888,0.1888888888888888
Ligue 1,Rc Lens,Patrick Berg,6.0,2022-12-09,4000000,no NOR,AM,Midfielder,24,19.529411764705884,0.0,0.0,0.0,0.0,0.0588235294117647,0.0,0.0,0.0,16.0,0.8235294117647058,0.2941176470588235,0.1176470588235294,0.0,0.0,0.0058823529411764,0.4117647058823529,0.0588235294117647,11.529411764705882,13.941176470588236,84.02941176470588,0.7647058823529411,0.0,0.1176470588235294
Ligue 1,Stade Reims,Ghislain Konan,3.0,2022-12-02,8000000,ci CIV,LB,Defender,25,85.93684210526315,0.031578947368421,0.0631578947368421,0.0,0.0,0.3157894736842105,0.0947368421052631,0.0842105263157894,0.0105263157894736,60.01052631578948,1.894736842105263,1.2842105263157897,0.9578947368421052,0.0084210526315789,0.0084210526315789,0.0705263157894736,1.8421052631578947,0.1894736842105263,38.02105263157895,49.62105263157895,75.96105263157895,3.431578947368421,1.4105263157894736,2.789473684210526
Ligue 1,As Monaco,Cesc Fàbregas,4.0,2022-12-22,1500000,es ESP,CM,Midfielder,31,57.57608695652174,0.0543478260869565,0.108695652173913,0.0217391304347826,0.0217391304347826,0.7282608695652174,0.2065217391304347,0.1304347826086956,0.0217391304347826,58.45652173913044,1.3043478260869563,0.5760869565217391,0.6304347826086957,0.083695652173913,0.0663043478260869,0.15,3.5543478260869565,0.3369565217391304,43.22826086956522,53.77173913043478,79.15326086956522,5.956521739130435,0.3369565217391304,0.5
Ligue 1,Rc Lens,Brayann Pereira,2.0,2022-11-02,600000,fr FRA,RB,Defender,19,48.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.5,1.75,0.5,0.5,0.0,0.0,0.05,0.25,0.0,17.5,24.0,76.2,0.75,1.5,3.25
Ligue 1,Olympique Marseille,Salim Ben Seghir,32.0,2022-11-02,400000,fr FRA,RM,Midfielder,19,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,3.5,3.5,50.0,1.0,0.0,0.5
Ligue 1,Olympique Marseille,Gerson,8.0,2022-11-02,18000000,br BRA,LM,Midfielder,21,59.96190476190476,0.1523809523809524,0.0761904761904762,0.0,0.0,0.9714285714285714,0.3238095238095238,0.1333333333333333,0.0,36.93333333333333,1.0476190476190477,0.4285714285714285,0.8761904761904762,0.0942857142857142,0.0942857142857142,0.0676190476190476,2.2095238095238097,0.2476190476190476,26.0,30.314285714285717,84.41428571428571,1.9428571428571428,0.6190476190476191,1.0095238095238095
Ligue 1,Olympique Marseille,Oussama Targhalline,26.0,2022-10-27,400000,ma MAR,RW,Forward,19,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,3.5,100.0,0.0,0.0,0.0
Ligue 1,Fc Nantes,Anthony Limbombe,22.0,2022-10-12,800000,be BEL,LW,Forward,25,42.06060606060606,0.0606060606060606,0.0303030303030303,0.0,0.0,1.3333333333333333,0.3939393939393939,0.0606060606060606,0.0,21.0,0.4545454545454545,0.2424242424242424,0.1818181818181818,0.0878787878787878,0.0878787878787878,0.1090909090909091,2.0,0.1515151515151515,11.0,15.636363636363637,64.3909090909091,0.696969696969697,0.3636363636363636,0.7878787878787878
Ligue 1,Olympique Marseille,Cheick Souaré,34.0,2022-05-30,200000,fr FRA,CM,Midfielder,18,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,66.7,0.0,0.0,0.0
Ligue 1,Fc Nantes,Roli Pereira de Sa,6.0,2022-10-28,500000,fr FRA,CM,Midfielder,24,26.45833333333333,0.0,0.0,0.0,0.0,0.4166666666666667,0.0416666666666666,0.0416666666666666,0.0,16.708333333333332,0.6666666666666666,0.25,0.3333333333333333,0.0333333333333333,0.0333333333333333,0.0375,1.0833333333333333,0.0,11.541666666666666,13.833333333333334,80.64166666666667,0.5,0.7916666666666666,0.9166666666666666
Ligue 1,Fc Nantes,Wylan Cyprien,18.0,2022-11-10,3000000,fr FRA,CM,Midfielder,25,68.46078431372548,0.1470588235294117,0.0980392156862745,0.0588235294117647,0.0686274509803921,1.4705882352941178,0.4509803921568627,0.1274509803921568,0.0196078431372549,59.20588235294117,1.0588235294117647,0.5490196078431373,0.6274509803921569,0.1411764705882353,0.088235294117647,0.1362745098039215,2.9607843137254903,0.3235294117647059,44.44117647058823,53.42156862745098,80.45980392156862,3.715686274509804,0.5392156862745098,0.8431372549019608
Ligue 1,Fc Nantes,Willem Geubbels,19.0,2022-11-02,2500000,fr FRA,"RM,FW",Midfielder,20,22.53846153846154,0.0769230769230769,0.0256410256410256,0.0,0.0,0.4615384615384615,0.1282051282051282,0.1025641025641025,0.0256410256410256,10.564102564102564,0.5641025641025641,0.2307692307692307,0.358974358974359,0.0743589743589743,0.0743589743589743,0.0384615384615384,0.2564102564102564,0.0256410256410256,4.871794871794871,7.076923076923077,61.64615384615384,0.2051282051282051,0.0512820512820512,0.4358974358974359
Ligue 1,Olympique Marseille,Luis Henrique,11.0,2022-11-14,6000000,br BRA,RW,Forward,19,35.23076923076923,0.0,0.1538461538461538,0.0,0.0,0.3076923076923077,0.1538461538461538,0.0,0.0,16.256410256410255,0.2307692307692307,0.3076923076923077,0.1794871794871795,0.0282051282051282,0.0282051282051282,0.0615384615384615,1.0,0.1538461538461538,9.948717948717947,12.897435897435898,72.17179487179487,0.7948717948717948,0.5128205128205128,1.205128205128205
Ligue 1,Fc Nantes,Mohamed Achi,19.0,2022-11-02,400000,fr FRA,LW,Forward,20,15.333333333333334,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,11.333333333333334,0.3333333333333333,0.0,0.0,0.0333333333333333,0.0333333333333333,0.0,0.3333333333333333,0.0,8.0,10.0,82.23333333333333,0.6666666666666666,0.0,0.3333333333333333
Ligue 1,Fc Nantes,Dennis Appiah,12.0,2022-11-02,1500000,fr FRA,CB,Defender,30,68.80681818181819,0.0,0.0227272727272727,0.0,0.0,0.1590909090909091,0.0113636363636363,0.1136363636363636,0.0,45.13636363636363,2.147727272727273,0.9659090909090908,0.8522727272727273,0.0102272727272727,0.0102272727272727,0.0193181818181818,0.8522727272727273,0.0681818181818181,27.920454545454547,37.71590909090909,72.4625,2.1818181818181817,0.6136363636363636,1.1022727272727273
Ligue 1,Fc Nantes,Yannis M'Bemba,32.0,2022-12-20,200000,fr FRA,CB,Defender,20,2.5,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,4.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,2.0,2.0,100.0,0.0,0.0,0.0
Ligue 1,Fc Nantes,Osman Bukari,26.0,2022-11-14,5000000,gh GHA,"FW,CM",Forward,22,42.16666666666666,0.0833333333333333,0.1666666666666666,0.0,0.0,0.8333333333333334,0.375,0.0416666666666666,0.0,18.08333333333333,0.75,0.3333333333333333,0.3333333333333333,0.0791666666666666,0.0791666666666666,0.1166666666666666,1.4166666666666667,0.3333333333333333,9.166666666666666,12.458333333333334,69.92083333333333,0.6666666666666666,0.875,1.9166666666666667
Ligue 1,Fc Nantes,Fábio,2.0,2022-11-02,1200000,br BRA,CB,Defender,32,64.8,0.0,0.0588235294117647,0.0,0.0,0.3176470588235294,0.0470588235294117,0.2588235294117647,0.0470588235294117,43.63529411764706,2.5647058823529414,1.3058823529411765,1.035294117647059,0.0141176470588235,0.0141176470588235,0.04,1.3411764705882352,0.1529411764705882,26.88235294117647,35.64705882352941,72.16823529411765,1.8588235294117648,0.4235294117647059,0.8117647058823529
Ligue 1,Rc Strassburg Alsace,Mehdi Chahiri,21.0,2022-10-28,900000,ma MAR,"LB,RB",Defender,25,34.041666666666664,0.0833333333333333,0.0,0.0,0.0,0.875,0.2916666666666667,0.0,0.0,17.125,0.7916666666666666,0.25,0.375,0.0708333333333333,0.0708333333333333,0.0416666666666666,1.0,0.0416666666666666,8.291666666666666,11.458333333333334,62.975,1.2083333333333333,1.1666666666666667,1.8333333333333333
Ligue 1,Rc Strassburg Alsace,Dany Jean,38.0,2022-11-02,150000,ht HAI,WB,Defender,19,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,40.0,2.0,0.0,1.0
Ligue 1,Rc Strassburg Alsace,Marvin Senaya,32.0,2022-10-28,800000,tg TOG,WB,Defender,21,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,80.0,1.0,0.0,0.0
Serie A,Us Cremonese,Daniel Ciofani,9.0,2022-11-11,200000,it ITA,CB,Defender,37,43.30232558139535,0.1627906976744186,0.0465116279069767,0.0697674418604651,0.0930232558139534,1.3488372093023255,0.4651162790697674,0.0232558139534883,0.0,13.674418604651162,0.2790697674418604,0.0697674418604651,0.1627906976744186,0.1883720930232558,0.1093023255813953,0.0395348837209302,0.9302325581395348,0.0930232558139534,5.953488372093023,9.395348837209305,64.71860465116279,0.4418604651162791,0.0465116279069767,0.1162790697674418
Serie A,Us Cremonese,David Okereke,77.0,2022-11-11,4300000,ng NGA,"FW,AM",Forward,24,68.14893617021276,0.2127659574468085,0.0,0.0,0.0,1.4680851063829787,0.574468085106383,0.1489361702127659,0.0212765957446808,22.97872340425532,0.4680851063829787,0.2978723404255319,0.723404255319149,0.1553191489361702,0.1553191489361702,0.0531914893617021,1.893617021276596,0.1702127659574468,10.404255319148936,15.27659574468085,68.26808510638298,1.3404255319148937,0.8723404255319149,1.7872340425531914
Serie A,Us Cremonese,Cyriel Dessers,90.0,2022-11-11,6000000,ng NGA,FW,Forward,27,66.15384615384616,0.1538461538461538,0.0769230769230769,0.0,0.0769230769230769,2.0,0.3846153846153846,0.0769230769230769,0.0,19.53846153846154,0.5384615384615384,0.2307692307692307,0.5384615384615384,0.3307692307692307,0.2692307692307693,0.0615384615384615,1.6923076923076923,0.0,7.153846153846154,11.538461538461538,59.04615384615386,0.6923076923076923,0.3846153846153846,1.2307692307692308
Serie A,Us Cremonese,Felix Afena-Gyan,20.0,2022-11-11,5500000,gh GHA,FW,Forward,19,37.0,0.0833333333333333,0.0,0.0,0.0,0.8333333333333334,0.2916666666666667,0.25,0.0416666666666666,14.208333333333334,0.5833333333333334,0.125,0.1666666666666666,0.0666666666666666,0.0666666666666666,0.0291666666666666,1.125,0.0833333333333333,6.083333333333333,8.0,78.16250000000001,0.2916666666666667,0.2916666666666667,1.0416666666666667
