Tournament,Player,Number,Nation,Pos,Age,Min,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_Sh,Performance_SoT,Performance_CrdY,Performance_CrdR,Performance_Touches,Performance_Tkl,Performance_Int,Performance_Blocks,Expected_xG,Expected_npxG,Expected_xAG,SCA,GCA,Passes_Cmp,Passes_Att,Passes_Cmp%,Passes_Prog,Passes_Succ,Dribbles_Att
Premier League,Vincent Kompany,4.0,be BEL,CB,32,77.0,0.058823529411764705,0.029411764705882353,0.0,0.0,0.4117647058823529,0.08823529411764706,0.35294117647058826,0.0,85.82352941176471,1.0588235294117647,0.9411764705882353,0.6176470588235294,0.029411764705882353,0.029411764705882353,0.011764705882352941,0.7352941176470589,0.058823529411764705,72.61764705882354,78.32352941176471,90.33235294117647,3.2941176470588234,0.17647058823529413,0.20588235294117646
Premier League,Lucas Pérez,27.0,es ESP,"FW,DM",29,66.11392405063292,0.2088607594936709,0.11392405063291139,0.06962025316455696,0.08227848101265822,1.1075949367088607,0.3924050632911392,0.06962025316455696,0.0,27.27848101265823,0.3227848101265823,0.12025316455696203,0.2974683544303797,0.22405063291139243,0.15822784810126583,0.18481012658227847,2.9050632911392404,0.23417721518987342,14.981012658227849,22.367088607594937,66.62974683544304,1.5316455696202531,0.6455696202531646,1.3037974683544304
Premier League,Harry Arter,7.0,ie IRL,"LM,DM",28,77.8157894736842,0.02631578947368421,0.02631578947368421,0.0,0.0,0.8947368421052632,0.13157894736842105,0.3684210526315789,0.0,41.078947368421055,2.1315789473684212,0.7894736842105263,1.3421052631578947,0.02894736842105264,0.02894736842105264,0.015789473684210527,1.605263157894737,0.18421052631578946,27.68421052631579,33.473684210526315,77.88684210526314,2.710526315789474,0.18421052631578946,0.39473684210526316
Premier League,Kenneth Zohore,10.0,dk DEN,FW,24,39.63157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.8947368421052632,0.3684210526315789,0.05263157894736842,0.0,12.0,0.15789473684210525,0.10526315789473684,0.21052631578947367,0.09473684210526315,0.09473684210526315,0.04736842105263158,1.1578947368421053,0.05263157894736842,4.578947368421052,7.631578947368421,56.147368421052626,0.21052631578947367,0.2631578947368421,0.42105263157894735
Premier League,Petr Čech,1.0,cz CZE,GK,36,88.36585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0,34.90243902439025,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.0,23.097560975609756,31.926829268292682,72.81951219512196,0.024390243902439025,0.04878048780487805,0.07317073170731707
Premier League,Stephan Lichtsteiner,12.0,ch SUI,LB,34,64.46341463414635,0.0,0.04878048780487805,0.0,0.024390243902439025,0.0975609756097561,0.0,0.21951219512195122,0.0,49.80487804878049,1.1219512195121952,0.5853658536585366,0.5365853658536586,0.01951219512195122,0.0,0.01707317073170732,0.7073170731707317,0.0975609756097561,35.609756097560975,45.02439024390244,77.8170731707317,2.1951219512195124,0.4878048780487805,0.6829268292682927
Premier League,Daniel Sturridge,15.0,eng ENG,FW,28,32.06060606060606,0.12121212121212122,0.06060606060606061,0.0,0.0,1.2727272727272727,0.42424242424242425,0.030303030303030304,0.0,14.333333333333334,0.09090909090909091,0.030303030303030304,0.15151515151515152,0.11818181818181818,0.11818181818181818,0.05454545454545456,1.1515151515151516,0.12121212121212122,8.454545454545455,10.878787878787879,70.25454545454545,1.393939393939394,0.5454545454545454,0.7575757575757576
Premier League,Joe Hart,20.0,eng ENG,GK,31,90.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,35.31578947368421,0.02631578947368421,0.0,0.02631578947368421,0.0,0.0,0.023684210526315787,0.18421052631578946,0.02631578947368421,15.657894736842104,32.1578947368421,49.626315789473686,0.05263157894736842,0.02631578947368421,0.02631578947368421
Premier League,Stephen Ward,23.0,ie IRL,LB,32,86.70967741935483,0.03225806451612903,0.03225806451612903,0.0,0.0,0.22580645161290322,0.06451612903225806,0.06451612903225806,0.0,56.0,1.3870967741935485,1.4838709677419355,0.967741935483871,0.012903225806451613,0.012903225806451613,0.048387096774193554,0.8709677419354839,0.06451612903225806,31.29032258064516,46.41935483870968,66.74516129032257,2.6774193548387095,0.22580645161290322,0.3548387096774194
Premier League,Sam Vokes,9.0,wls WAL,FW,28,38.26,0.14,0.02,0.0,0.0,1.1,0.3,0.06,0.0,15.02,0.14,0.06,0.16,0.10399999999999998,0.10399999999999998,0.04800000000000001,0.68,0.02,5.34,10.8,43.17400000000001,0.46,0.08,0.08
