Player,Touches_Touches,Touches_Def_Pen,Touches_Def_3rd,Touches_Mid_3rd,Touches_Att_3rd,Touches_Att_Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_Mis,Dribbles_Dis,Receiving_Rec,Receiving_Prog
Sebastian Kerk,28.285714285714285,1.238095238095238,6.857142857142857,11.523809523809524,10.285714285714286,0.7142857142857143,28.285714285714285,0.1904761904761904,0.3333333333333333,14.285714285714286,0.8095238095238095,0.6666666666666666,15.523809523809524,1.9047619047619049
Marc Stendera,23.0,0.4285714285714285,4.357142857142857,15.071428571428571,3.928571428571429,0.4285714285714285,23.0,0.0714285714285714,0.2142857142857142,7.142857142857143,0.2142857142857142,0.2142857142857142,12.714285714285714,0.9285714285714286
Jakub Błaszczykowski,25.0,0.5,4.9,9.9,10.5,1.2,25.0,0.6,1.4,37.33,0.5,1.3,18.0,3.3
Tim Kleindienst,24.615384615384617,0.9615384615384616,2.923076923076923,11.038461538461538,10.961538461538462,2.730769230769231,24.615384615384617,0.3461538461538461,1.0384615384615383,19.87307692307693,1.807692307692308,1.1923076923076923,18.653846153846157,3.615384615384616
Florent Muslija,24.47058823529412,0.1176470588235294,3.3529411764705883,11.588235294117649,10.117647058823527,0.6470588235294118,24.47058823529412,0.9411764705882352,1.7058823529411764,39.49411764705883,1.4705882352941178,0.8823529411764706,18.0,1.6470588235294117
Marco Russ,36.54166666666666,3.7083333333333335,16.416666666666668,18.95833333333333,1.4166666666666667,0.625,36.54166666666666,0.2083333333333333,0.3333333333333333,18.75,0.0833333333333333,0.2083333333333333,19.166666666666668,0.125
Davor Lovren,13.0,0.0,1.0,6.5,5.5,0.0,13.0,0.0,0.5,0.0,1.0,0.5,9.5,3.5
Gaëtan Bussmann,59.0,3.0,18.0,33.0,9.0,0.0,59.0,0.0,0.0,0.0,1.0,0.0,37.0,1.0
Takashi Usami,19.36842105263158,0.7368421052631579,3.947368421052632,8.105263157894736,7.894736842105263,1.0526315789473684,19.36842105263158,0.6842105263157895,1.105263157894737,29.64736842105263,0.4210526315789473,0.3684210526315789,11.68421052631579,1.8421052631578947
Sandro Wagner,22.21875,0.53125,1.875,12.21875,8.21875,2.75,22.1875,0.15625,0.53125,9.375,1.21875,1.03125,18.28125,4.0
Shinji Kagawa,45.523809523809526,0.2857142857142857,3.0,28.047619047619047,15.095238095238097,2.0,45.523809523809526,0.4285714285714285,1.1428571428571428,18.252380952380957,1.1904761904761905,0.6666666666666666,36.57142857142857,3.761904761904762
Josip Elez,39.42857142857143,4.619047619047619,17.38095238095238,21.09523809523809,1.3333333333333333,0.1428571428571428,39.42857142857143,0.3333333333333333,0.3809523809523809,19.047619047619047,0.3333333333333333,0.2857142857142857,22.0,0.0476190476190476
Julian Korb,51.625,2.95,17.15,23.2,11.875,0.65,51.625,0.25,0.55,21.25,0.8,0.325,24.525,1.775
Derrick Luckassen,53.0,3.5,22.75,29.75,0.5,0.0,53.0,0.5,0.5,50.0,0.5,0.0,37.75,0.0
Berkay Özcan,29.1,0.3,2.8,14.55,12.4,0.95,29.1,1.25,2.05,48.42,0.8,1.1,21.0,1.85
Andreas Beck,51.234042553191486,2.021276595744681,13.638297872340424,25.4468085106383,12.5531914893617,0.6382978723404256,51.234042553191486,0.2340425531914893,0.5106382978723404,21.27659574468085,1.148936170212766,0.5319148936170213,28.8936170212766,1.297872340425532
Virgil Misidjan,28.0,0.217391304347826,3.869565217391304,11.565217391304348,13.478260869565217,1.608695652173913,28.0,1.7826086956521738,4.173913043478261,37.93478260869565,2.347826086956522,2.0,20.347826086956523,3.8260869565217392
Ahmet Gürleyen,5.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,100.0,0.0,0.0,2.0,1.0
Marco Fabián,32.375,0.375,2.75,19.625,10.25,1.25,32.375,0.875,1.75,44.5875,1.75,1.0,24.375,2.75
Fabian Lustenberger,50.82692307692308,4.346153846153846,21.53846153846154,28.0,1.5769230769230769,0.1346153846153846,50.82692307692308,0.1346153846153846,0.1923076923076923,9.936538461538465,0.2307692307692307,0.173076923076923,28.73076923076923,0.1346153846153846
Yevhen Konoplyanka,23.4,0.225,1.85,9.175,12.825,2.125,23.4,0.8,1.725,35.9425,0.7,0.55,17.55,2.9
Dennis Aogo,45.09090909090909,1.1136363636363635,9.318181818181818,26.363636363636363,9.704545454545457,0.5909090909090909,45.09090909090909,0.1363636363636363,0.1818181818181818,11.363636363636363,0.3409090909090909,0.3409090909090909,27.90909090909091,1.1363636363636365
Luca Plogmann,7.0,6.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niko Bungert,21.0,3.7142857142857135,13.714285714285714,6.714285714285714,0.5714285714285714,0.1428571428571428,21.0,0.0,0.0,0.0,0.2857142857142857,0.0,10.285714285714286,0.0
Enrico Valentini,61.93333333333333,4.933333333333334,18.2,27.0,17.466666666666665,0.2666666666666666,61.93333333333333,0.6,1.1333333333333333,37.333333333333336,1.0,0.6,29.666666666666668,1.7333333333333334
Kevin Goden,27.6,2.6,10.0,11.8,6.0,0.2,27.6,0.6,0.8,33.34,0.6,0.0,10.8,0.8
Felix Götze,8.666666666666666,1.1666666666666667,3.8333333333333335,3.1666666666666665,2.0,0.3333333333333333,8.666666666666666,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,4.166666666666667,0.3333333333333333
Miiko Albornoz,51.1875,2.78125,15.5625,23.125,13.09375,0.78125,51.1875,0.5,1.1875,26.821875,0.9375,0.6875,28.34375,1.40625
Iver Fossum,39.57142857142857,0.9285714285714286,7.035714285714286,21.892857142857142,10.964285714285714,1.0357142857142858,39.57142857142857,0.2857142857142857,0.75,14.285714285714286,0.5,0.8571428571428571,25.071428571428573,1.8928571428571428
Bobby Wood,22.90909090909091,0.4545454545454545,1.4545454545454546,11.545454545454543,10.295454545454543,2.636363636363636,22.88636363636364,0.4772727272727273,1.318181818181818,23.825000000000003,1.9545454545454544,2.340909090909091,17.863636363636363,4.136363636363637
Bruma,36.285714285714285,0.3333333333333333,3.4761904761904763,17.285714285714285,16.30952380952381,2.4047619047619047,36.26190476190476,1.9285714285714288,3.7857142857142856,42.54761904761904,1.5476190476190477,1.0238095238095235,27.047619047619047,3.0476190476190474
Holger Badstuber,44.94594594594594,5.135135135135135,24.37837837837838,20.0,0.918918918918919,0.4324324324324324,44.94594594594594,0.1891891891891892,0.1891891891891892,16.216216216216218,0.3783783783783784,0.081081081081081,24.62162162162162,0.027027027027027
Emiliano Insúa,55.09615384615385,2.6538461538461537,14.442307692307692,25.846153846153847,15.692307692307692,0.6153846153846154,55.09615384615385,1.3846153846153846,2.4423076923076925,49.39230769230768,0.8269230769230769,0.8269230769230769,29.442307692307693,1.9807692307692308
