Tournament,Player,Nation,Age,Min,Shot_Stopping_SoTA,Shot_Stopping_GA,Shot_Stopping_Saves,Shot_Stopping_Save%,Shot_Stopping_PSxG,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att,Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal_Kicks_Att,Goal_Kicks_Launch%,Goal_Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_AvgDist
La Liga,Rubén Blanco,es ESP,25,88.80392156862744,3.950980392156863,1.4215686274509804,2.5392156862745097,60.71764705882353,1.2950980392156861,5.7745098039215685,16.362745098039216,35.305882352941175,24.980392156862745,4.0,43.37745098039217,36.741176470588236,8.176470588235293,66.17058823529412,49.076470588235296,14.490196078431373,0.39215686274509803,3.036274509803922,0.7745098039215687,10.784313725490197
La Liga,Tomáš Vaclík,cz CZE,31,89.35211267605634,3.563380281690141,1.1267605633802817,2.4225352112676055,64.26478873239436,1.1028169014084506,4.619718309859155,13.32394366197183,36.31830985915494,21.901408450704224,5.112676056338028,38.31690140845071,35.290140845070425,7.253521126760563,63.99718309859154,48.69718309859155,13.253521126760564,0.7183098591549296,5.502816901408452,0.7183098591549296,12.412676056338025
La Liga,Koke Vegas,es ESP,25,90.0,6.0,2.0,4.0,68.34,1.98,3.6,11.8,33.22,19.4,4.4,42.86,36.82000000000001,9.4,36.42,34.339999999999996,16.0,0.0,0.0,1.6,13.940000000000001
La Liga,Joel Robles,es ESP,30,88.51785714285714,3.7857142857142856,1.3928571428571428,2.4285714285714284,65.64107142857144,1.3517857142857144,4.5,13.214285714285714,33.73571428571429,26.839285714285715,4.285714285714286,36.8,33.95178571428571,6.857142857142857,39.14642857142858,35.62678571428571,13.089285714285714,0.375,2.894642857142857,1.6964285714285714,16.794642857142854
La Liga,Alberto Cifuentes,es ESP,41,90.0,3.0,1.5,1.0,70.0,1.4500000000000002,11.0,30.0,38.4,26.5,1.5,84.45,53.8,7.5,100.0,63.15,16.0,0.0,0.0,2.0,13.5
La Liga,Andrés Fernández,es ESP,33,88.44827586206897,3.8620689655172415,1.4482758620689655,2.4827586206896552,67.76896551724138,1.313793103448276,5.206896551724138,13.931034482758621,37.665517241379305,25.620689655172413,4.068965517241379,37.851724137931036,33.87241379310345,8.241379310344827,52.08620689655172,41.12758620689655,16.275862068965516,0.3448275862068966,2.203448275862069,0.896551724137931,12.079310344827585
La Liga,David Gil,es ESP,26,90.0,4.25,2.5,1.75,47.5,1.5250000000000001,8.0,26.0,30.95,21.25,2.25,80.4,52.75,9.25,97.225,64.375,15.5,0.5,2.0,0.25,10.0
La Liga,Iván Villar,es ESP,23,82.44,3.52,1.4,2.12,72.324,1.236,4.52,15.12,30.184,22.52,3.4,46.14800000000001,37.571999999999996,8.0,63.696000000000005,48.544,14.52,0.32,2.1319999999999997,1.4,12.62
La Liga,Alejandro Primo,es ESP,17,90.0,2.0,1.0,1.0,50.0,0.8,2.0,6.0,33.3,17.0,0.0,29.4,31.2,8.0,12.5,20.9,19.0,0.0,0.0,0.0,15.0
La Liga,Oier Olazábal,es ESP,32,89.11764705882354,5.254901960784314,1.5686274509803921,3.7450980392156863,72.41960784313726,1.5901960784313727,5.862745098039215,16.529411764705884,35.403921568627446,18.352941176470587,3.823529411764706,52.280392156862746,41.772549019607844,9.235294117647058,72.61960784313726,50.703921568627464,15.92156862745098,0.8235294117647058,5.788235294117648,0.7254901960784313,11.717647058823527
