Player,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog
Michele Cremonesi,25.0,29.4,84.1,428.6,172.6,10.6,11.2,91.78,12.0,13.2,89.7,1.8,3.0,56.66,0.0,0.0,0.0,0.0,1.6,0.0,0.0,2.2
Marios Oikonomou,12.5,16.0,76.2,243.0,106.75,4.25,4.5,50.0,6.25,7.0,92.675,2.0,3.75,24.225,0.0,0.0,0.0,0.25,1.5,0.0,0.0,0.75
Sauli Väisänen,34.0,38.0,91.0,644.8571428571429,249.42857142857144,13.428571428571429,15.0,91.74285714285716,16.857142857142858,17.714285714285715,95.34285714285716,3.7142857142857135,5.0,68.72857142857143,0.0,0.0,0.0,0.1428571428571428,2.0,0.1428571428571428,0.0,1.4285714285714286
Marco Borriello,8.133333333333333,10.6,66.33999999999999,94.66666666666669,12.066666666666666,5.4,6.333333333333333,71.15333333333334,1.4666666666666666,2.333333333333333,41.78,0.2,0.2666666666666666,10.0,0.0,0.0533333333333333,0.02,0.6666666666666666,0.3333333333333333,0.1333333333333333,0.0,0.2666666666666666
Dušan Basta,27.09090909090909,35.90909090909091,74.7,423.09090909090907,147.0909090909091,16.0,17.90909090909091,88.52727272727273,8.181818181818182,11.181818181818182,66.2909090909091,2.090909090909091,4.636363636363637,43.94545454545455,0.0909090909090909,0.009090909090909,0.0363636363636363,0.5454545454545454,1.3636363636363635,1.0909090909090908,0.7272727272727273,1.7272727272727273
Simone Palombi,12.0,14.0,85.7,193.0,33.0,8.0,10.0,80.0,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
Andrea Nalini,15.304347826086955,24.30434782608696,63.408695652173904,244.69565217391303,77.08695652173913,8.521739130434783,11.391304347826088,76.9,4.086956521739131,6.869565217391305,57.88695652173912,1.7826086956521738,3.5217391304347827,54.908695652173904,0.1304347826086956,0.1043478260869565,0.0695652173913043,0.782608695652174,1.5217391304347827,0.782608695652174,0.6086956521739131,1.4782608695652173
Marcus Rohdén,13.26923076923077,20.0,67.42692307692309,200.34615384615384,73.11538461538461,7.538461538461538,9.73076923076923,80.14999999999999,4.115384615384615,6.576923076923077,57.28076923076923,0.9615384615384616,2.1153846153846154,35.95,0.0,0.0153846153846153,0.0192307692307692,0.4615384615384615,1.2692307692307692,0.1538461538461538,0.1153846153846153,1.2307692307692308
Mariano Julio Izco,11.8,15.0,70.0,179.2,62.4,6.2,7.2,73.16,4.8,5.6,73.16,0.6,1.0,23.34,0.0,0.0,0.0,0.0,2.2,0.2,0.0,1.4
Adrian Stoian,20.125,32.96875,59.7875,376.4375,163.8125,8.75,11.71875,73.33125000000001,8.0625,12.84375,59.771875,3.03125,6.34375,46.565625,0.125,0.071875,0.071875,0.59375,3.5,1.15625,0.3125,3.71875
Noë Dussenne,8.0,19.0,42.1,162.0,97.0,3.0,4.0,75.0,3.0,5.0,60.0,2.0,7.0,28.6,0.0,0.0,0.1,0.0,1.0,1.0,0.0,1.0
Andrea Costa,33.6875,43.875,75.45,620.375,297.3125,14.5625,16.25,88.88750000000002,14.5625,17.9375,80.3125,3.8125,8.1875,43.61874999999999,0.0,0.0,0.01875,0.125,2.3125,0.375,0.1875,2.4375
Gianluca Di Chiara,37.30769230769231,48.69230769230769,71.63846153846153,653.9230769230769,281.7692307692308,17.153846153846153,19.0,89.16153846153847,15.23076923076923,18.615384615384617,71.0923076923077,4.0,8.615384615384615,42.49230769230769,0.0,0.0461538461538461,0.0615384615384615,1.0,3.3076923076923075,0.3846153846153846,0.3076923076923077,2.923076923076923
Massimo Coda,10.125,14.666666666666666,72.69166666666666,151.25,27.875,5.916666666666667,7.833333333333333,72.47500000000001,2.833333333333333,4.208333333333333,53.575,0.9166666666666666,1.125,46.52916666666667,0.0416666666666666,0.0541666666666666,0.0499999999999999,0.875,0.5833333333333334,0.4166666666666667,0.0416666666666666,0.9583333333333334
Karamoko Cissé,1.0,2.5,62.5,27.5,0.0,0.0,1.0,0.0,0.5,1.0,50.0,0.5,0.5,50.0,0.0,0.05,0.0,0.5,0.0,0.5,0.0,0.5
George Pușcaș,10.545454545454543,13.818181818181818,79.14545454545454,140.27272727272728,26.09090909090909,6.363636363636363,7.727272727272727,86.23636363636363,2.727272727272727,3.636363636363636,71.81818181818181,0.6363636363636364,0.8181818181818182,37.88181818181818,0.0,0.0272727272727272,0.009090909090909,0.7272727272727273,0.5454545454545454,0.3636363636363636,0.0909090909090909,0.8181818181818182
Christian Puggioni,25.43478260869565,34.52173913043478,71.4608695652174,744.9565217391304,565.695652173913,3.8260869565217392,3.8260869565217392,86.95652173913044,11.521739130434783,11.826086956521738,92.64347826086956,10.08695652173913,18.73913043478261,54.63478260869565,0.0,0.0,0.0,0.0,0.391304347826087,0.0,0.0,0.0
Daniel Pavlović,24.90909090909091,38.54545454545455,58.2818181818182,462.09090909090907,228.45454545454547,10.363636363636363,12.727272727272728,71.93636363636364,10.636363636363637,15.090909090909092,60.59090909090909,3.363636363636364,8.363636363636363,43.845454545454544,0.0,0.0909090909090909,0.109090909090909,1.0,2.0,0.6363636363636364,0.1818181818181818,2.4545454545454546
Vasilis Torosidis,19.25,26.1875,73.75625000000001,320.3125,127.375,9.125,10.5,86.775,8.0,10.1875,80.6,1.5,3.75,38.20625,0.0,0.00625,0.0,0.25,1.3125,0.4375,0.25,1.25
Saphir Taïder,21.77777777777778,24.22222222222222,90.78888888888888,399.1111111111111,87.0,8.88888888888889,9.444444444444445,95.76666666666668,8.88888888888889,10.22222222222222,88.84444444444445,3.2222222222222223,3.4444444444444446,64.44444444444444,0.1111111111111111,0.0222222222222222,0.0444444444444444,0.4444444444444444,1.5555555555555556,0.3333333333333333,0.0,1.4444444444444444
Davide Astori,52.76,61.36,85.07600000000001,1011.84,361.8,18.8,20.0,92.904,27.28,30.04,90.92,5.84,9.56,58.42800000000001,0.04,0.008,0.02,0.36,3.68,0.36,0.08,2.96
Rafik Zekhnini,4.0,5.0,80.0,29.0,9.0,4.0,4.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Éder,7.137931034482759,8.793103448275861,73.39655172413794,91.75862068965516,18.20689655172414,4.172413793103448,4.620689655172414,79.07241379310346,1.5517241379310345,2.206896551724138,61.82758620689656,0.3793103448275862,0.5172413793103449,19.54137931034483,0.0,0.0482758620689655,0.0482758620689655,0.4827586206896552,0.3103448275862069,0.2758620689655172,0.1379310344827586,0.4482758620689655
Dario Dainelli,22.142857142857142,28.571428571428573,77.80476190476192,476.8095238095238,228.47619047619048,6.761904761904762,7.904761904761905,79.26666666666668,10.761904761904765,12.142857142857142,84.55238095238096,4.285714285714286,7.857142857142857,42.6,0.0,0.0,0.0,0.1428571428571428,1.809523809523809,0.0952380952380952,0.0,1.761904761904762
Alessandro Gamberini,25.695652173913043,29.869565217391305,83.16956521739131,488.69565217391306,162.6086956521739,8.391304347826088,9.173913043478262,85.65217391304347,14.217391304347826,16.304347826086957,83.4608695652174,2.565217391304348,3.565217391304348,69.9304347826087,0.0,0.0,0.0,0.0,0.7391304347826086,0.0,0.0,0.8260869565217391
Luca Garritano,5.454545454545454,8.090909090909092,71.55454545454546,99.8181818181818,33.90909090909091,2.727272727272727,3.636363636363636,80.95454545454545,1.7272727272727273,2.363636363636364,86.2090909090909,0.8181818181818182,1.4545454545454546,53.03636363636363,0.0,0.0181818181818181,0.0363636363636363,0.1818181818181818,0.6363636363636364,0.4545454545454545,0.0,0.6363636363636364
Gabriele Angella,34.25,41.91666666666666,81.86666666666666,785.0,323.5833333333333,7.583333333333333,9.166666666666666,87.68333333333335,19.58333333333333,22.166666666666668,85.16666666666667,6.833333333333333,9.833333333333334,63.95,0.0,0.0,0.0,0.1666666666666666,1.8333333333333333,0.0833333333333333,0.0,2.583333333333333
Thomas Heurtaux,25.235294117647054,31.235294117647054,79.40588235294116,535.5882352941177,194.1764705882353,7.823529411764706,8.941176470588236,84.21764705882353,12.823529411764708,14.0,90.6,4.294117647058823,7.470588235294118,57.12941176470588,0.0,0.0,0.0,0.0588235294117647,1.2352941176470589,0.1176470588235294,0.0,1.0588235294117647
Samuel Souprayen,31.5,38.63636363636363,80.81818181818181,497.8181818181818,186.13636363636363,16.40909090909091,17.681818181818183,93.35454545454546,11.454545454545457,13.863636363636363,79.71818181818183,2.5454545454545454,5.363636363636363,45.268181818181816,0.0,0.009090909090909,0.0136363636363636,0.3181818181818182,1.9090909090909087,0.3636363636363636,0.1363636363636363,1.8636363636363635
Marcel Büchel,28.130434782608692,36.91304347826087,72.33478260869565,488.6521739130435,105.78260869565216,12.565217391304348,15.0,79.46521739130435,11.043478260869565,13.08695652173913,76.99565217391304,3.130434782608696,6.3478260869565215,47.0608695652174,0.0,0.017391304347826,0.017391304347826,0.5217391304347826,1.8695652173913044,0.1739130434782608,0.0434782608695652,1.5217391304347827
Alessio Cerci,13.083333333333334,20.541666666666668,63.06666666666666,202.25,57.04166666666666,7.125,9.041666666666666,75.8125,4.208333333333333,6.708333333333333,60.333333333333336,1.0833333333333333,2.7916666666666665,32.6375,0.0833333333333333,0.1708333333333333,0.0875,1.0416666666666667,0.75,0.7916666666666666,0.1666666666666666,1.3333333333333333
Claudio Marchisio,40.13333333333333,45.4,84.78,763.1333333333333,170.0,15.133333333333333,16.4,92.95333333333332,17.333333333333332,18.73333333333333,79.78,6.266666666666667,7.8,56.260000000000005,0.0666666666666666,0.0466666666666666,0.0266666666666666,0.4,3.466666666666667,0.4666666666666667,0.0666666666666666,3.066666666666667
Jérémie Porsan-Clémenté,24.0,40.0,60.0,353.0,150.0,15.0,18.0,83.3,6.0,13.0,46.2,2.0,6.0,33.3,0.0,0.1,0.0,1.0,1.0,0.0,0.0,1.0
Kolbeinn Sigþórsson,3.0,5.0,66.65,34.0,0.0,2.5,3.5,75.0,0.5,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lemouya Goudiaby,15.0,21.5,83.75,224.0,100.5,8.0,9.5,91.2,6.0,10.5,77.5,0.5,1.0,25.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,1.0
Adrián Sahibeddine,1.3333333333333333,1.6666666666666667,83.33333333333333,12.333333333333334,2.6666666666666665,1.3333333333333333,1.3333333333333333,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dylan Lempereur,12.0,19.0,74.33333333333333,217.0,126.0,5.666666666666667,5.666666666666667,100.0,5.0,9.0,68.06666666666666,1.3333333333333333,3.6666666666666665,22.23333333333333,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
Diego Contento,8.333333333333334,10.666666666666666,91.36666666666667,132.66666666666666,58.0,5.333333333333333,5.666666666666667,97.43333333333334,2.0,3.0,22.23333333333333,1.0,1.6666666666666667,50.0,0.3333333333333333,0.1333333333333333,0.0666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333
Quentin Beunardeau,11.0,20.0,55.0,526.0,495.0,0.0,0.0,0.0,2.0,2.0,100.0,9.0,18.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eden Massouema,8.5,11.833333333333334,68.91666666666667,139.0,31.5,4.333333333333333,5.666666666666667,61.11666666666667,3.5,4.5,77.91666666666667,0.6666666666666666,1.0,22.21666666666667,0.0,0.0499999999999999,0.0333333333333333,0.3333333333333333,0.8333333333333334,0.1666666666666666,0.0,0.5
Thibault Giresse,4.0,6.333333333333333,60.56666666666666,48.66666666666666,15.666666666666666,2.333333333333333,2.6666666666666665,91.66666666666669,0.6666666666666666,1.0,50.0,0.3333333333333333,1.0,33.333333333333336,0.0,0.0,0.0333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0
Jean-Christophe Bouet,15.0,30.0,50.0,594.0,547.0,0.0,0.0,0.0,6.0,6.0,100.0,9.0,24.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henri Bedimo,7.0,8.333333333333334,78.33333333333333,98.0,24.33333333333333,4.333333333333333,4.666666666666667,63.63333333333333,2.333333333333333,2.6666666666666665,61.9,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333
